id,city
446,Qinxi
447,Cola
448,Dolní Dvořiště
449,Aplahoué
450,Dongjin
451,Manorhamilton
452,San José
453,Lidoríki
454,Sumy
455,Jasienica Rosielna
456,Plácido de Castro
457,Rumelange
458,Sambungjaya
459,Datagon
460,Cavalões
461,Luleå
462,Szczecin
463,El Hajeb
464,Groblersdal
465,Tambobamba
466,Zürich
467,Isu
468,Senador Pompeu
469,Laohugang
470,Sugcad
471,Outeiro de Polima
472,Vurğun
473,Smokvica
474,Sinanju
475,Xiaoduchuan
476,Yunxi
477,Rybí
478,Thị Trấn Phong Thổ
479,Ōbu
480,Sé
481,Gvozd
482,San José
483,Saint John’s
484,Naji
485,Ban Talat Bueng
486,Kuching
487,Göteborg
488,Dianbu
489,Zhaoqing
490,Umpak
491,Ferraz de Vasconcelos
492,Båstad
493,Ostrzeszów
494,Il’skiy
495,Marseille
496,Baraçais
497,Quezon
498,San Juan Ermita
499,Manlucahoc
500,Créteil
